World Bank list of economies (July 2014),,,,,,,,,,,
,,,,,,,,,,,
(Bold indicates a change of classification),,, ,,,,,,,,
,,,,,,,,,,,
,,Economy,Code,,Region,Income group,Lending category,Other,,,
,,,,,,,,,,,
1,,Afghanistan,AFG,,South Asia,Low income,IDA,HIPC,,,
2,,Albania,ALB,,Europe & Central Asia,Upper middle income,IBRD,,,,
3,,Algeria,DZA,,Middle East & North Africa,Upper middle income,IBRD,,,,
4,,American Samoa,ASM,,East Asia & Pacific,Upper middle income,..,,,,
5,,Andorra,ADO,,..,High income: nonOECD,..,,,,
6,,Angola,AGO,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
7,,Antigua and Barbuda,ATG,,..,High income: nonOECD,IBRD,,,,
8,,Argentina,ARG,,Latin America & Caribbean,Upper middle income,IBRD,,,,
9,,Armenia,ARM,,Europe & Central Asia,Lower middle income,IBRD,,,,
10,,Aruba,ABW,,..,High income: nonOECD,..,,,,
11,,Australia,AUS,,..,High income: OECD,..,,,,
12,,Austria,AUT,,..,High income: OECD,..,EMU,,,
13,,Azerbaijan,AZE,,Europe & Central Asia,Upper middle income,IBRD,,,,
14,,"Bahamas, The",BHS,,..,High income: nonOECD,..,,,,
15,,Bahrain,BHR,,..,High income: nonOECD,..,,,,
16,,Bangladesh,BGD,,South Asia,Low income,IDA,,,,
17,,Barbados,BRB,,..,High income: nonOECD,..,,,,
18,,Belarus,BLR,,Europe & Central Asia,Upper middle income,IBRD,,,,
19,,Belgium,BEL,,..,High income: OECD,..,EMU,,,
20,,Belize,BLZ,,Latin America & Caribbean,Upper middle income,IBRD,,,,
21,,Benin,BEN,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
22,,Bermuda,BMU,,..,High income: nonOECD,..,,,,
23,,Bhutan,BTN,,South Asia,Lower middle income,IDA,,,,
24,,Bolivia,BOL,,Latin America & Caribbean,Lower middle income,Blend,HIPC,,,
25,,Bosnia and Herzegovina,BIH,,Europe & Central Asia,Upper middle income,IBRD,,,,
26,,Botswana,BWA,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
27,,Brazil,BRA,,Latin America & Caribbean,Upper middle income,IBRD,,,,
28,,Brunei Darussalam,BRN,,..,High income: nonOECD,..,,,,
29,,Bulgaria,BGR,,Europe & Central Asia,Upper middle income,IBRD,,,,
30,,Burkina Faso,BFA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
31,,Burundi,BDI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
32,,Cabo Verde,CPV,,Sub-Saharan Africa,Lower middle income,Blend,,,,
33,,Cambodia,KHM,,East Asia & Pacific,Low income,IDA,,,,
34,,Cameroon,CMR,,Sub-Saharan Africa,Lower middle income,Blend,HIPC,,,
35,,Canada,CAN,,..,High income: OECD,..,,,,
36,,Cayman Islands,CYM,,..,High income: nonOECD,..,,,,
37,,Central African Republic,CAF,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
38,,Chad,TCD,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
39,,Channel Islands,CHI,,..,High income: nonOECD,..,,,,
40,,Chile,CHL,,..,High income: OECD,IBRD,,,,
41,,China,CHN,,East Asia & Pacific,Upper middle income,IBRD,,,,
42,,Colombia,COL,,Latin America & Caribbean,Upper middle income,IBRD,,,,
43,,Comoros,COM,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
44,,"Congo, Dem. Rep.",ZAR,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
45,,"Congo, Rep.",COG,,Sub-Saharan Africa,Lower middle income,Blend,HIPC,,,
46,,Costa Rica,CRI,,Latin America & Caribbean,Upper middle income,IBRD,,,,
47,,Côte d'Ivoire,CIV,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
48,,Croatia,HRV,,..,High income: nonOECD,IBRD,,,,
49,,Cuba,CUB,,Latin America & Caribbean,Upper middle income,..,,,,
50,,Curaçao,CUW,,..,High income: nonOECD,..,,,,
51,,Cyprus,CYP,,..,High income: nonOECD,..,EMU,,,
52,,Czech Republic,CZE,,..,High income: OECD,..,,,,
53,,Denmark,DNK,,..,High income: OECD,..,,,,
54,,Djibouti,DJI,,Middle East & North Africa,Lower middle income,IDA,,,,
55,,Dominica,DMA,,Latin America & Caribbean,Upper middle income,Blend,,,,
56,,Dominican Republic,DOM,,Latin America & Caribbean,Upper middle income,IBRD,,,,
57,,Ecuador,ECU,,Latin America & Caribbean,Upper middle income,IBRD,,,,
58,,"Egypt, Arab Rep.",EGY,,Middle East & North Africa,Lower middle income,IBRD,,,,
59,,El Salvador,SLV,,Latin America & Caribbean,Lower middle income,IBRD,,,,
60,,Equatorial Guinea,GNQ,,..,High income: nonOECD,IBRD,,,,
61,,Eritrea,ERI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
62,,Estonia,EST,,..,High income: OECD,..,EMU,,,
63,,Ethiopia,ETH,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
64,,Faeroe Islands,FRO,,..,High income: nonOECD,..,,,,
65,,Fiji,FJI,,East Asia & Pacific,Upper middle income,IBRD,,,,
66,,Finland,FIN,,..,High income: OECD,..,EMU,,,
67,,France,FRA,,..,High income: OECD,..,EMU,,,
68,,French Polynesia,PYF,,..,High income: nonOECD,..,,,,
69,,Gabon,GAB,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
70,,"Gambia, The",GMB,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
71,,Georgia,GEO,,Europe & Central Asia,Lower middle income,IBRD,,,,
72,,Germany,DEU,,..,High income: OECD,..,EMU,,,
73,,Ghana,GHA,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
74,,Greece,GRC,,..,High income: OECD,..,EMU,,,
75,,Greenland,GRL,,..,High income: nonOECD,..,,,,
76,,Grenada,GRD,,Latin America & Caribbean,Upper middle income,Blend,,,,
77,,Guam,GUM,,..,High income: nonOECD,..,,,,
78,,Guatemala,GTM,,Latin America & Caribbean,Lower middle income,IBRD,,,,
79,,Guinea,GIN,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
80,,Guinea-Bissau,GNB,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
81,,Guyana,GUY,,Latin America & Caribbean,Lower middle income,IDA,HIPC,,,
82,,Haiti,HTI,,Latin America & Caribbean,Low income,IDA,HIPC,,,
83,,Honduras,HND,,Latin America & Caribbean,Lower middle income,IDA,HIPC,,,
84,,"Hong Kong SAR, China",HKG,,..,High income: nonOECD,..,,,,
85,,Hungary,HUN,,Europe & Central Asia,Upper middle income,..,,,,
86,,Iceland,ISL,,..,High income: OECD,..,,,,
87,,India,IND,,South Asia,Lower middle income,IBRD,,,,
88,,Indonesia,IDN,,East Asia & Pacific,Lower middle income,IBRD,,,,
89,,"Iran, Islamic Rep.",IRN,,Middle East & North Africa,Upper middle income,IBRD,,,,
90,,Iraq,IRQ,,Middle East & North Africa,Upper middle income,IBRD,,,,
91,,Ireland,IRL,,..,High income: OECD,..,EMU,,,
92,,Isle of Man,IMY,,..,High income: nonOECD,..,,,,
93,,Israel,ISR,,..,High income: OECD,..,,,,
94,,Italy,ITA,,..,High income: OECD,..,EMU,,,
95,,Jamaica,JAM,,Latin America & Caribbean,Upper middle income,IBRD,,,,
96,,Japan,JPN,,..,High income: OECD,..,,,,
97,,Jordan,JOR,,Middle East & North Africa,Upper middle income,IBRD,,,,
98,,Kazakhstan,KAZ,,Europe & Central Asia,Upper middle income,IBRD,,,,
99,,Kenya,KEN,,Sub-Saharan Africa,Low income,IDA,,,,
100,,Kiribati,KIR,,East Asia & Pacific,Lower middle income,IDA,,,,
101,,"Korea, Dem. Rep.",PRK,,East Asia & Pacific,Low income,..,,,,
102,,"Korea, Rep.",KOR,,..,High income: OECD,IBRD,,,,
103,,Kosovo,KSV,,Europe & Central Asia,Lower middle income,IDA,,,,
104,,Kuwait,KWT,,..,High income: nonOECD,..,,,,
105,,Kyrgyz Republic,KGZ,,Europe & Central Asia,Lower middle income,IDA,,,,
106,,Lao PDR,LAO,,East Asia & Pacific,Lower middle income,IDA,,,,
107,,Latvia,LVA,,..,High income: nonOECD,..,EMU,,,
108,,Lebanon,LBN,,Middle East & North Africa,Upper middle income,IBRD,,,,
109,,Lesotho,LSO,,Sub-Saharan Africa,Lower middle income,IDA,,,,
110,,Liberia,LBR,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
111,,Libya,LBY,,Middle East & North Africa,Upper middle income,IBRD,,,,
112,,Liechtenstein,LIE,,..,High income: nonOECD,..,,,,
113,,Lithuania,LTU,,..,High income: nonOECD,..,,,,
114,,Luxembourg,LUX,,..,High income: OECD,..,EMU,,,
115,,"Macao SAR, China",MAC,,..,High income: nonOECD,..,,,,
116,,"Macedonia, FYR",MKD,,Europe & Central Asia,Upper middle income,IBRD,,,,
117,,Madagascar,MDG,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
118,,Malawi,MWI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
119,,Malaysia,MYS,,East Asia & Pacific,Upper middle income,IBRD,,,,
120,,Maldives,MDV,,South Asia,Upper middle income,IDA,,,,
121,,Mali,MLI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
122,,Malta,MLT,,..,High income: nonOECD,..,EMU,,,
123,,Marshall Islands,MHL,,East Asia & Pacific,Upper middle income,IDA,,,,
124,,Mauritania,MRT,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
125,,Mauritius,MUS,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
126,,Mexico,MEX,,Latin America & Caribbean,Upper middle income,IBRD,,,,
127,,"Micronesia, Fed. Sts.",FSM,,East Asia & Pacific,Lower middle income,IDA,,,,
128,,Moldova,MDA,,Europe & Central Asia,Lower middle income,Blend,,,,
129,,Monaco,MCO,,..,High income: nonOECD,..,,,,
130,,Mongolia,MNG,,East Asia & Pacific,Lower middle income,Blend,,,,
131,,Montenegro,MNE,,Europe & Central Asia,Upper middle income,IBRD,,,,
132,,Morocco,MAR,,Middle East & North Africa,Lower middle income,IBRD,,,,
133,,Mozambique,MOZ,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
134,,Myanmar,MMR,,East Asia & Pacific,Low income,IDA,,,,
135,,Namibia,NAM,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
136,,Nepal,NPL,,South Asia,Low income,IDA,,,,
137,,Netherlands,NLD,,..,High income: OECD,..,EMU,,,
138,,New Caledonia,NCL,,..,High income: nonOECD,..,,,,
139,,New Zealand,NZL,,..,High income: OECD,..,,,,
140,,Nicaragua,NIC,,Latin America & Caribbean,Lower middle income,IDA,HIPC,,,
141,,Niger,NER,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
142,,Nigeria,NGA,,Sub-Saharan Africa,Lower middle income,Blend,,,,
143,,Northern Mariana Islands,MNP,,..,High income: nonOECD,..,,,,
144,,Norway,NOR,,..,High income: OECD,..,,,,
145,,Oman,OMN,,..,High income: nonOECD,..,,,,
146,,Pakistan,PAK,,South Asia,Lower middle income,Blend,,,,
147,,Palau,PLW,,East Asia & Pacific,Upper middle income,IBRD,,,,
148,,Panama,PAN,,Latin America & Caribbean,Upper middle income,IBRD,,,,
149,,Papua New Guinea,PNG,,East Asia & Pacific,Lower middle income,Blend,,,,
150,,Paraguay,PRY,,Latin America & Caribbean,Lower middle income,IBRD,,,,
151,,Peru,PER,,Latin America & Caribbean,Upper middle income,IBRD,,,,
152,,Philippines,PHL,,East Asia & Pacific,Lower middle income,IBRD,,,,
153,,Poland,POL,,..,High income: OECD,IBRD,,,,
154,,Portugal,PRT,,..,High income: OECD,..,EMU,,,
155,,Puerto Rico,PRI,,..,High income: nonOECD,..,,,,
156,,Qatar,QAT,,..,High income: nonOECD,..,,,,
157,,Romania,ROM,,Europe & Central Asia,Upper middle income,IBRD,,,,
158,,Russian Federation,RUS,,..,High income: nonOECD,IBRD,,,,
159,,Rwanda,RWA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
160,,Samoa,WSM,,East Asia & Pacific,Lower middle income,IDA,,,,
161,,San Marino,SMR,,..,High income: nonOECD,..,,,,
162,,São Tomé and Principe,STP,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
163,,Saudi Arabia,SAU,,..,High income: nonOECD,..,,,,
164,,Senegal,SEN,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
165,,Serbia,SRB,,Europe & Central Asia,Upper middle income,IBRD,,,,
166,,Seychelles,SYC,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
167,,Sierra Leone,SLE,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
168,,Singapore,SGP,,..,High income: nonOECD,..,,,,
169,,Sint Maarten (Dutch part),SXM,,..,High income: nonOECD,..,,,,
170,,Slovak Republic,SVK,,..,High income: OECD,..,EMU,,,
171,,Slovenia,SVN,,..,High income: OECD,..,EMU,,,
172,,Solomon Islands,SLB,,East Asia & Pacific,Lower middle income,IDA,,,,
173,,Somalia,SOM,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
174,,South Africa,ZAF,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
175,,South Sudan,SSD,,Sub-Saharan Africa,Lower middle income,IDA,,,,
176,,Spain,ESP,,..,High income: OECD,..,EMU,,,
177,,Sri Lanka,LKA,,South Asia,Lower middle income,Blend,,,,
178,,St. Kitts and Nevis,KNA,,..,High income: nonOECD,IBRD,,,,
179,,St. Lucia,LCA,,Latin America & Caribbean,Upper middle income,Blend,,,,
180,,St. Martin (French part),MAF,,..,High income: nonOECD,..,,,,
181,,St. Vincent and the Grenadines,VCT,,Latin America & Caribbean,Upper middle income,Blend,,,,
182,,Sudan,SDN,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
183,,Suriname,SUR,,Latin America & Caribbean,Upper middle income,IBRD,,,,
184,,Swaziland,SWZ,,Sub-Saharan Africa,Lower middle income,IBRD,,,,
185,,Sweden,SWE,,..,High income: OECD,..,,,,
186,,Switzerland,CHE,,..,High income: OECD,..,,,,
187,,Syrian Arab Republic,SYR,,Middle East & North Africa,Lower middle income,IBRD,,,,
188,,Tajikistan,TJK,,Europe & Central Asia,Low income,IDA,,,,
189,,Tanzania,TZA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
190,,Thailand,THA,,East Asia & Pacific,Upper middle income,IBRD,,,,
191,,Timor-Leste,TMP,,East Asia & Pacific,Lower middle income,Blend,,,,
192,,Togo,TGO,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
193,,Tonga,TON,,East Asia & Pacific,Upper middle income,IDA,,,,
194,,Trinidad and Tobago,TTO,,..,High income: nonOECD,IBRD,,,,
195,,Tunisia,TUN,,Middle East & North Africa,Upper middle income,IBRD,,,,
196,,Turkey,TUR,,Europe & Central Asia,Upper middle income,IBRD,,,,
197,,Turkmenistan,TKM,,Europe & Central Asia,Upper middle income,IBRD,,,,
198,,Turks and Caicos Islands,TCA,,..,High income: nonOECD,..,,,,
199,,Tuvalu,TUV,,East Asia & Pacific,Upper middle income,IDA,,,,
200,,Uganda,UGA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
201,,Ukraine,UKR,,Europe & Central Asia,Lower middle income,IBRD,,,,
202,,United Arab Emirates,ARE,,..,High income: nonOECD,..,,,,
203,,United Kingdom,GBR,,..,High income: OECD,..,,,,
204,,United States,USA,,..,High income: OECD,..,,,,
205,,Uruguay,URY,,..,High income: nonOECD,IBRD,,,,
206,,Uzbekistan,UZB,,Europe & Central Asia,Lower middle income,Blend,,,,
207,,Vanuatu,VUT,,East Asia & Pacific,Lower middle income,IDA,,,,
208,,"Venezuela, RB",VEN,,Latin America & Caribbean,Upper middle income,IBRD,,,,
209,,Vietnam,VNM,,East Asia & Pacific,Lower middle income,Blend,,,,
210,,Virgin Islands (U.S.),VIR,,..,High income: nonOECD,..,,,,
211,,West Bank and Gaza,WBG,,Middle East & North Africa,Lower middle income,..,,,,
212,,"Yemen, Rep.",YEM,,Middle East & North Africa,Lower middle income,IDA,,,,
213,,Zambia,ZMB,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
214,,Zimbabwe,ZWE,,Sub-Saharan Africa,Low income,Blend,,,,
