code,year,cgdpo,ck
AGO,2011,84461.14844,195332.2344
ALB,2011,24076.71875,129947.7578
ARG,2011,560255.9375,2078489.875
ARM,2011,17892.8418,48794.79297
ATG,2011,1044.654175,2608.305664
AUS,2011,812146.5625,2968346
AUT,2011,297425.5,1280469.25
AZE,2011,85123.04688,142293.5781
BDI,2011,5120.996094,11060.96094
BEL,2011,345555.2813,1594687.625
BEN,2011,11366.55176,34417.67578
BFA,2011,16625.21875,40982.62109
BGD,2011,232654.0156,803061.3125
BGR,2011,92888.9375,287512
BHR,2011,26534.89063,142173.9844
BHS,2011,7480.433594,16155.09863
BIH,2011,29320.61719,90514.66406
BLR,2011,147263.1563,381071.9063
BLZ,2011,2145.818359,2231.628662
BOL,2011,37408.86328,88681.4375
BRA,2011,1724431.125,6493198
BRB,2011,5834.461914,5734.095703
BRN,2011,20754.34766,58830.74609
BTN,2011,3765.764404,20292.36914
BWA,2011,23533.79883,83697.13281
CAF,2011,2794.479248,8878.583008
CAN,2011,1170241.125,3488218.5
CHE,2011,338673.5,1196365.125
CHL,2011,248358.7813,714919.375
CHN,2011,10375164,45263624
CIV,2011,25511.42969,44292.48828
CMR,2011,35854.53125,85421.30469
COG,2011,11809.77637,31682.54297
COL,2011,372183.875,1330276.875
COM,2011,663.3223267,3350.811279
CPV,2011,1776.706299,10989.10547
CRI,2011,42289.63281,87756.625
CYP,2011,19726.29297,97777
CZE,2011,227514.0469,948766.5
DEU,2011,2840953.75,10405759
DJI,2011,2292.540527,8797.208984
DMA,2011,782.3870239,531.6182861
DNK,2011,193134.3906,839327.6875
DOM,2011,91687.26563,243105.3125
ECU,2011,100542.5781,390496.8438
EGY,2011,411421.5,834901.75
ESP,2011,1283726.25,7014924.5
EST,2011,25585.05273,91355.48438
ETH,2011,69180.98438,182962.25
FIN,2011,177406.5,813825
FJI,2011,3315.900146,9864.668945
FRA,2011,1964250.125,8790590
GAB,2011,22177.85156,67223.46094
GBR,2011,1957957.625,6459174
GEO,2011,28094.83008,77339.73438
GHA,2011,58718.33203,143940.4063
GIN,2011,9514.541992,27101.5918
GMB,2011,2500.198975,6249.04248
GNQ,2011,15338.12695,18622.98438
GRC,2011,257289.125,1086562.875
GRD,2011,818.0782471,1309.756958
GTM,2011,60405.6875,93281.59375
HKG,2011,270633.5313,1050502.875
HND,2011,23075.35352,63464.84375
HRV,2011,71315.28906,309363.7188
HUN,2011,167748.5313,758118.9375
IDN,2011,1037379.813,3346636.75
IND,2011,4570723,10100372
IRL,2011,183853.8125,590693.9375
IRN,2011,902152.875,2837001.75
IRQ,2011,145400.4844,248934.0156
ISL,2011,10748.90625,40234.73438
ISR,2011,175929.1875,490766.6563
ITA,2011,1723205.375,8421821
JAM,2011,11954.54492,31376.00781
JOR,2011,28703.3457,163344.5313
JPN,2011,3878882.25,18432026
KAZ,2011,221645.0469,670492
KEN,2011,55354.88672,119567.25
KGZ,2011,14738.77246,28331.49805
KHM,2011,31746.39648,69119.92188
KNA,2011,528.5037231,2184.318359
KOR,2011,1335144.5,5638431
KWT,2011,193835.6094,507772.0313
LAO,2011,16243.57617,65683.98438
LBN,2011,55951.71484,333726.0625
LBR,2011,1986.73999,4204.633301
LCA,2011,1651.167847,1851.553101
LKA,2011,99427.08594,294197.0938
LSO,2011,3086.203125,15492.04688
LTU,2011,52513.60156,167794.1563
LUX,2011,30731.43359,124302.6797
LVA,2011,34722.26953,145056.9531
MAC,2011,36836.56641,69850.17969
MAR,2011,113574.8438,421808.375
MDA,2011,13641.56543,53141.06641
MDG,2011,15628.49609,53144.95703
MDV,2011,3869.120361,11855.44922
MEX,2011,1425631.5,3871231.5
MKD,2011,17516.17578,66366.20313
MLI,2011,15274.40332,23723.73242
MLT,2011,9345.604492,41737.03125
MNE,2011,8133.316406,22289.36914
MNG,2011,16164.23145,77834.3125
MOZ,2011,18839.79297,32908.36328
MRT,2011,7290.817383,30620.05273
MUS,2011,12821.33691,43489.75781
MWI,2011,12871.41895,50859.78125
MYS,2011,342374.9688,1366253.25
NAM,2011,10295.81055,37415.81641
NER,2011,9139.432617,39125.57031
NGA,2011,376715.9063,431200.4688
NLD,2011,638102.8125,2526940.75
NOR,2011,298470.1875,888431.875
NPL,2011,38743.21484,143387.5469
NZL,2011,111776.4063,275028.4375
OMN,2011,79404.99219,279311.625
PAK,2011,443457.5,1177162.375
PAN,2011,48768.08984,90270.70313
PER,2011,244444.0469,904682.625
PHL,2011,330579.5938,1208006.25
POL,2011,688951.1875,1667344.625
PRT,2011,224512.9375,1180142.25
PRY,2011,30571.75195,83013.78125
QAT,2011,214290.8438,582788.6875
ROM,2011,277174.8438,1035207.75
RUS,2011,2547452.25,7295882.5
RWA,2011,13977.2793,19615.0918
SAU,2011,645535.625,2452500.25
SDN,2011,84198.71094,88746.67969
SEN,2011,17653.32227,78039.49219
SGP,2011,237698.9063,962888.1875
SLE,2011,5289.409668,13000.37305
SLV,2011,1912.049072,14243.13281
SRB,2011,70230.53125,319055
STP,2011,326.3512268,929.6505127
SUR,2011,3255.132568,15270.25879
SVK,2011,107342.1094,350903.7188
SVN,2011,44743,202147.9531
SWE,2011,325917.75,911995.6875
SWZ,2011,4570.35791,24006.42578
SYR,2011,82409.10156,304372.5625
TCD,2011,18141.47852,24085.83984
TGO,2011,5814.629395,15677.41797
THA,2011,560258.25,2331142.25
TJK,2011,22583.32227,58593.09766
TKM,2011,60427.75781,288054.0625
TTO,2011,31512.61719,29211.74023
TUN,2011,65709.64844,263612.9375
TUR,2011,1098035.625,2664055.75
TZA,2011,57170.85938,138359.7656
UGA,2011,41589.40234,72509.14844
UKR,2011,382463.7813,1555652.875
URY,2011,39179.61719,134228.875
USA,2011,13227916,41501056
UZB,2011,181281.875,248268.875
VCT,2011,763.7860718,1203.844727
VEN,2011,292992.375,935570.3125
VNM,2011,329090.5938,1220189.25
YEM,2011,49428.28516,225564.5156
ZAF,2011,403282.125,978322
ZAR,2011,20668.03125,87186.28125
ZMB,2011,24241.9082,56939.26953
ZWE,2011,183021.5781,9560.376953
